ad_id,title,company,town,opening_date,closing_date,ad_url,vacancy_details_url,poster_image_file,emails,phones,ocr_text,is_internship,tech_skills,soft_skills,skills_all
topjobs_1473549,Intern - Manufacturing Support  (1),MAS KREEDA,Balangoda,2026-02-26,2026-03-12,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000094&jc=0001473549&ec=0000000652&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000094&jc=0001473549&ec=0000000652&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1473549.png,,,"» 4 a . ie
hr ne melt
MESAE YOUR CAREERIWITHIMASE -
Callin out all bright minds looking to gain valuable experience in.the «
ever evolving Apparel Industry! We.are on the lookout forinnovative: a.
thinkers to join MAS Balangoda as an; ; : ’
: Intern Manufacturing Support | ~
ae
~ ie
Who. We're: Looking-Eor: °
“ Pe AOh te sent, {
Weare looking for proactive Underorduatesand Graduates in Mathematics or,
a A TEAC ORE Neh enneggnannr ee DegmneT. Ss af Hale 4 an .
Science along with strong communication and team working skills to join our i
team of changemakers: .
Y ournRolewith.Us: : .
‘As a Manufacturing Support Intern, you will prepare.and maintain Power Bl
dashboards to monitor, manufacturing Key, Performance Indicators, support
management decision making while assisting CET manufacturing operations
by collecting, organizing and validating production data:
(Apply, now!) ;
. ‘Apply within 7 calendar days of this advert.being published. ,
oo
EY (a)
OY wy a
VY fi |
ao |=| @ a wars
| [c® ;
We are an equal opportunity employer and welcome all qualifying candidates to join our tearm of MAS professionals.
",True,c,communication,"c, communication"
topjobs_1470109,Commis Chef I /II / III / Trainee Cooks,Calorie Counter,"Colombo, Galle, Negombo",2026-02-18,2026-03-04,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001470109&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001470109&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1470109.png,,076-2882826,"eee he ee ee ee
AN BUR OO ee ee
Ee So Ey ee.
ee ee Ae
get A pq Rete ED ES pee SF QQ ED tae
mee AN a ate ON eee Bs (oe See
ge, Ma gt A a i fr EES Yes Cay: cones
ee suis Age bap “hy « suas® Bo
73, COLOMBO | NEGOMBO | GALLE ge 32, ae tee
Bigg WE'RE LOOKING FOR ENERGETIC STAFF WHO ARE GOOD IN CUSTOMER SERVICE & WOULD REPRESENT aa
Renee OUR BRAND. A HEALTH ENTHUSIAST.OR A FUTNESS FANATIC WILL BE AN ADDED ADVANTAGE. tual
Re ees COMMIS. CHEFS 1 | 2 | 3 Rear ee
rs EES Re poe Requirements, Seam mye ae haem ote
RES peimece es A Hotel school qualification is. an added advantage Saar
om eters. Should be able to manage a busy kittheng Sy TES ye
. E Ordering & monitoring Supplies {san added Advantage $i her sers
a ;TRAINEE;COOKS Sean ;
a . SOF Requirements, Sai aot a
-School leavers are welcome. ofa 1 Le -
-1=2 years of, kitchen-experience is an added advantage #
SO re etre ny, aa a eR ene ae) .
¥ -Hotel School or, Culinary qualification is‘a plus;
"" ee ee ee Se gt
a fee Barista experience is a bonus
Basic knowledge of food safety and hygieney
-Willingness to.learn, follow instructions, and work in a team
RESTAURANT, SUPERVISOR | MANAGER
aera Requirements Pe!
P Amihimum;of.41-2'years-experiencé ina Similar capacity'will be arradded advantage
A Hotel Schoo} qualification Is.an ‘added advantage
a re ST a «kOe ate eee
. Beer} a Barista Will be an added advantage
APPLY NOW Bs 5. . , .
fae CALL OR WHATSAPP. YOUR RESUME, TO.US: 076-2882826
",True,,,
topjobs_1469328,Trainee Executive (Female),ATARI City campus,Colombo,2026-02-16,2026-03-02,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001469328&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001469328&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1469328.png,,,"eS soit Ae Bhat suhag gate aac ie ounce
a a scents, coulis Soe eer
aN Rovncesrtanticcie Jp Be V8 <a ped J NNO ic)
TEN ‘\ me Se ber ‘- Mee oo
RES ATARIK( ot —__— — {. A bw \ i, a & A , at
WEAREHIRINGIEZAL yey ee
TRAINEE; EXECUTIVE*(FEM —__, ire SF OMG Of RES if
Som r TIVE (FEMALE) ge ioe WS eho fie | ce
2 Peston atari cain 7B A fp hla Ss
#9 Gender: = per month seam ended) | an ie
BB WHO WE ARE LOOKING FoR:P/ mit Ry ~ nee oe Pee
WHO WE ARE LOOKING FOR:Y 73 ieee i ey 3 See
Fp ST Cac SS ee ee TS Oo
py Seed Communication is > Good. Commiinication Skills WREey Sone fe ff a \ ee
EI Es Computer .roviedo eae fe | ae Tete
ee ef = \ or
WF picscant parconalinyae ama ge wares Ben: f como ee a
x APPLY Now!) AS me ey |<
ef seehid Vour.CV, tom wen eee wicctcapaae, Seo e ees
| Your.C\, to: SNORE oaaacs ea ee seein i oy
Carcers@atari kage eee Wee a Pore hy
C8 call 0710.11.11. 218 2 csr eranes Ee | eee pret:
= 111121 aoe tcaee es 3) sighine eece | Se SB
Be me — eaten eat ‘ ow a, : “
B Limited Vacancies ™ Apply, Today? ee BE ee EE
eee, se Ae on te ee
",True,c,communication,"c, communication"
topjobs_1471523,Intern - Industrial Engineering (1),MAS Intimates,Biyagama,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000094&jc=0001471523&ec=0000000374&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000094&jc=0001471523&ec=0000000374&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471523.png,,,"» n a . ie
hr ne melt
MESAE YOUR CAREERIWITHIMASE -
Callin out all bright minds looking to gain valuable experience in.the «

ever evolving j Apparel Industry! We.are on the lookout forinnovative: a.

thinkers to join MAS Ayathi, Biyagama as an. . ”

Intern Industrial Engineering ; .
4]

fa WholWe're. Looking-For: .
We are looking for proactive Undergraduates, and,Graduates in,Textile or Apparel an

Engineering along with strong communication skills and proficiency in Microsoft

Office to joinourteam_of changemakersy -

YounRolewith Us: .

As an Industrial Engineering Intern, you.will perform basic mechanical operations,

carryout Standard Minute Value operations and maintain document folders:
(pply, now!) ;
: ‘Apply, within,7 calendardays of this advert being published? ,
e e
yy 8 AQ
| UNL WW
We are an equal opportunity employer and welcome all qualifying candidates to join our team of MAS professionals.
",True,,communication,communication
topjobs_1469810,Trainee Investment Advisor,HNB Stockbrokers (Pvt) Ltd,Colombo 3,2026-02-17,2026-03-03,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001469810&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001469810&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1469810.png,careers@hnbib.lk,,"Stockbrokers WE ARE I i I RI NG
‘An NB Invaniment Bank company
- - Sey eee
CD Trainee Investment
eues
No. 53, Dharmapala Mawatha, Ad
Cetomto03 |) VISOrs
ABOUT US
HNB Investment Bank (HNBIB), a fully owned subsidiary of Hatton National Bank PLC, is one of
Sri Lanka's premier Investment Banks. Leveraging the strength and stability of our parent company
HNB, we serve a diverse clientele across multiple sectors, cementing our reputation as a trusted
leader in Sri Lanka's capital markets.
HNB Investment Bank delivers a full spectrum of services encompassing Stockbroking, Government
and Corporate Debt Trading (Treasury Bills, Bonds, Debentures), and Equity Capital Market offerings
including IPOs and Private Placements. We extend our financial, expertise to Mergers & Acquisitions,
Corporate Advisory, and Equity Research: providing seamless end-to-end solutions that empower
clients to effectively navigate their evolving financial landscape.
Vite ylauyyy
Join our elite team at HNBIB.} where you wilt work alongside the nation's most qualified and
experienced investment banking professionals. Discover unparalleled opportunities for both career
advancement and personal growth in a dynamic financial environment.
POSITION OVERVIEW
Are you passionate about capital markets and ready to take your first step into the world of
investments? Join us as Trainee Investment Advisors and gain hands-on experience under the
guidance of seasoned professionals. This is a unique opportunity to grow into licensed
Investment Advisors while learning the ins and outs of the financial markets.
WHY JOIN US? KEY QUALIFICATIONS & SKILLS
* On-the-Job Learning: Work alongside * Candidates who have — successfully
experienced advisors and gain real-world completed their A/L examinations,
exposure to trading, investment strategies preferably with a background in Accounting
and client management. or Economics and are eager to launch a
+ Career Pathway: Develop the skills and career in investment advisory.
knowledge needed to become certified + Individuals who possess the Certificate in
Investment Advisors. Capital Markets (CCM} or any other relevant
+ Supportive Environment: Benefit from degree / professional qualification are
structured training, mentorship and a encouraged to apply. However, a strong
collaborative team culture that desire to learn and grow is equally valued.
encourages growth and development. « Proficiency in English (both written and
* Industry Exposure: Gain firsthand insight verbal) is essential, along with a proactive
into Sri Lanka's capital markets, regulatory mindset and strong interpersonal skills.
landscape and evolving investment trends.
An attractive remuneration package will be offered based on experience and
qualifications, along with opportunities for professional growth.
Send your resume to careers@hnbib.lk
Please state the position you are applying for in the subject line.
",True,,,
topjobs_1471173,Intern- Marketing (1),Softlogic Life Insurance PLC,,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000062&jc=0001471173&ec=0000000576&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000062&jc=0001471173&ec=0000000576&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471173.JPG,careers@softlogiclife.lk,,"or
. r aN .
re me
\ . es on { \
pee are
NI a ~ at “, ‘
oe QACAN CY) ¥/ ae
Ire a
TON Th Intern- Marketing
AEN A | YR emp gia aEeN ” SENN ter 4 SoD ""9
Are you looking to start your career at “A great place to work’? 49
Ifso, come join our, record-breaking sales ‘team for an exciting new journey!
{ Key Responsibilities }
PF Assist in executing marketing Campaigns and brand activities)
B= Support, social media content. planning, scheduling,:and performance, tracking’
Bp Conduct competitor iesearch and assistin market analysis i :
Fee Coordinate with internal teams and external vendors‘on campaige’related deliverables
ies Paiticipate int brainstorming’ sessionis and contribute fresh, creative ideas""
( Qualifications & Requirements. )
-—s a a a
ge, Undergraduate following a degree'in Marketing, Business, ora related field:
Bat :A strong interest in branding, digital marketing; aiid creative communications
5 Excellent communication and organizational skills:
Peer Familiarity with’soctal iiédia platforms arid MS-Offiée tools
[Please mention the position in the email subject line,
ae ryan tee Penance ey ee
erward your CV to""
‘careers@softlogiclife.lk:
Softonic Lie insifarios PLC ia lceised io nsuter une te ratuation ofthe raurahyos Regulatory Comrade of Si Lana (RCSL
iT Greet
softlogic ss B
es
u FE LEGENDS
F Gy submitting your resurne, you confirm and consent te have read! uncerstood; and accepied the Privacy Notlce of SoRtogic Life at
‘httpedieohloglelitalieprivacy-notice/ and atknowledga that Softfogtc Life tnsurana PLC'shal précess all the Infofmatian you provid ing
| your reat Inchiding persoial data tavaliate yout candidacy for arnplayrent anc-cantact you abovt potential oppartunkies i
_sefication of your persaral data, wo shall also fofer or carry cut searches ab necessary tathroush social media platforms, Wo ol
ees asa eae ere mene ek olen sae ty ar innate ee bey
",True,,communication,communication
topjobs_1469543,Commis 3 | Trainee Commis - Hot Kitchen,Doner & Durum,Colombo 5,2026-02-17,2026-03-03,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001469543&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001469543&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1469543.png,hello@dndcmb.com,0770707177,"BS
DONER & DURUM
cn itsicebton ©

(corms 3 /- Trainee Commis
Wwe”

e e
Hiring!
Competitive remuneration
in line with industry
standards.
Accommodation & 2 meals
provided.
email us your CV at
hello@dndcmb.com or whatsapp us
on 0770707177
",True,,,
topjobs_1472476,Intern - Human Resources (1),Union Assurance PLC,,2026-02-24,2026-03-03,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000178&jc=0001472476&ec=0000000213&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000178&jc=0001472476&ec=0000000213&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1472476.jpg,,,"O JOIN OUR DYNAMIC HUMAN RESOURCES TEAM
: (25 { HUMAN RESOURCES y,
TEM (y108 DESCRIPTION, | LS
we ; . fay yap ee |
yee . ""ai X Help manage social media content related
. - . oo Py AG) to employer branding
a Loe ty, > Assist in planning and coordinating
Sj , ad, i \ employee engagement activities, events.
: —_—
. Ie SJ oe -! A » Coordinating with Universities to sign
WN eA XS MOUs
oe t ae BAS a » » Collaborate with cross-functional teams to
ao ‘\ AF > ia eo ca i) ensure timely execution of HR initiatives :
aN - ee ue
q wy . DISS TF REQUIREMENTS
eae ia \ rf > Currently pursuing a degree in HR/Business *
wer t Administration or Business Management |.
{f _ > Strong Communication and interpersonal skills
Qclicikhere to apply) > Creativity in content writing, design, and ° ;
: social media .
“By applying, you consent to the processing of your personal information for recruitment purposes and acknowledge that reference checks may be conducted:
TON union M The John Keells Group is an equal opportunity
= employer and we invite applications from all
",True,,communication,communication
topjobs_1470631,Trainee Travel Consultant,Travelco Holidays (Pvt) Ltd,Colombo 3,2026-02-19,2026-03-05,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001470631&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001470631&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1470631.png,hr@travelco.lk,,"travelco
Holidays
y oe
ERG x
/ JOIN OUR TEAM ) fs
G25
UR ] =F
JOINO o
ul ry
o ./>
« ‘ .
AGN th iS ; / /
(| Position} —e
@Requirements:}
@ Understand customer travel needs and offer suitable solutions. |
@ Handle flight bookings, transportation, and accommodation effectively.
@ Provide accurate information on destinations, accommodations, and travel
options.
@ Proactively offer additional services or assistance as needed.
@& Prior Sales experience would be added advantage
@ Candidates age should be between 18-24
@ School Leavers are welcome.
oy
Ifyou have what it takes to succeed, send your CV along
‘with details of two non-related referees to: hr@travelco.lk
WORK LOCATION 5 COLOMBO.
",True,,,
topjobs_1471165,Assistant Curriculum Developer - Health & Social Care (Intern),Imperial Edutech (Pvt) Ltd,All island,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001471165&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001471165&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471165.png,careers@imet.lk,,"(e) < | °
&” IMET
—~— e
Imperial Edutech (Pvt) Ltd
We Are Hiring!
. .
Assistant Curriculum Developer -
Health & Social Care (Intern)
(Remote, Full-time and Part-time Positions Available)
About the Company:
Imperial Edutech (Pvt) Ltd specializes in delivering Edtech services and internationally recognised professional
ontine courses. Established in 2026 in Sri Lanka, the company works in collaboration with its subsidiary and
associated companies in the United Kingdom, leveraging advanced technology to enhance learning experiences
and contribute to improving education for society.
Job Description: arm th iC \\
a fond
‘we are seeking highly motivated recent graduates or current undergraduates to join our team. As an Assistant
Curriculum Devetoper {Intern}, you will play a key role in designing, developing, and implementing educational
programs that meet the needs of learners. You will collaborate with subject matter experts, educators, and
stakeholders to create engaging, effective curricutum materials that enhance the learning experience.
Qo *
Key Responsibilities: About You:
« Design and develop high-quality curricutum materials. » Recent graduates or current undergraduates in
oo Psychology, Health and Social Care or a related
« Apply instructional design principles to create field,
learner-centered content.
_ . + Strong written and verbal communication skills.
+ Collaborate with subject matter experts (SMEs} to
ensure accuracy and relevance, + Familiarity with online teaching tools and
. ° . - . educational technologies.
* Tailor curriculum materials for various learning
environments. * Self-motivated with the ability to work
* Develop and implement assessment tools to measure independently and in a team environment.
learner progress.
* Incorporate appropriate educational technologies, Status of the job:
multimedia, and e-learning tools to enrich the learning Work from Home
experience. You are required to work parallel to office hours in
the UK and your regular working hours are 01.30pm
to 10.30pm and during UK daylight saving time
12.30pm to 0g.30pm on weekdays. We are off on
( ) weekends and UK bank holidays. .
..
\ oe
~ 4 « . .
Sy, Benefits: .
70 + Competitive remuneration package.
; f + Flexible work-from-home arrangement.
? ia + Opportunity to work with colleagues
- a SA ee from the UK and internationally. }
a i
| ar ' = Comprehensive training provided to
q wpe g t help you succeed in the role.
f: (| ; hase :
“ \E og <a am Please send your CV to:
Ry fs Se Se careers@imet.lk
ie is \' ae ao ""] '
7 Rese ot
1 tr AX VoALP oe
",True,,"collaboration, communication","collaboration, communication"
