ad_id,title,company,town,opening_date,closing_date,ad_url,vacancy_details_url,poster_image_file,emails,phones,ocr_text,is_internship,tech_skills,soft_skills,skills_all,is_tech
topjobs_1471165,Assistant Curriculum Developer - Health & Social Care (Intern),Imperial Edutech (Pvt) Ltd,All island,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001471165&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001471165&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471165.png,careers@imet.lk,,"(e) < | °
&” IMET
—~— e
Imperial Edutech (Pvt) Ltd
We Are Hiring!
. .
Assistant Curriculum Developer -
Health & Social Care (Intern)
(Remote, Full-time and Part-time Positions Available)
About the Company:
Imperial Edutech (Pvt) Ltd specializes in delivering Edtech services and internationally recognised professional
ontine courses. Established in 2026 in Sri Lanka, the company works in collaboration with its subsidiary and
associated companies in the United Kingdom, leveraging advanced technology to enhance learning experiences
and contribute to improving education for society.
Job Description: arm th iC \\
a fond
‘we are seeking highly motivated recent graduates or current undergraduates to join our team. As an Assistant
Curriculum Devetoper {Intern}, you will play a key role in designing, developing, and implementing educational
programs that meet the needs of learners. You will collaborate with subject matter experts, educators, and
stakeholders to create engaging, effective curricutum materials that enhance the learning experience.
Qo *
Key Responsibilities: About You:
« Design and develop high-quality curricutum materials. » Recent graduates or current undergraduates in
oo Psychology, Health and Social Care or a related
« Apply instructional design principles to create field,
learner-centered content.
_ . + Strong written and verbal communication skills.
+ Collaborate with subject matter experts (SMEs} to
ensure accuracy and relevance, + Familiarity with online teaching tools and
. ° . - . educational technologies.
* Tailor curriculum materials for various learning
environments. * Self-motivated with the ability to work
* Develop and implement assessment tools to measure independently and in a team environment.
learner progress.
* Incorporate appropriate educational technologies, Status of the job:
multimedia, and e-learning tools to enrich the learning Work from Home
experience. You are required to work parallel to office hours in
the UK and your regular working hours are 01.30pm
to 10.30pm and during UK daylight saving time
12.30pm to 0g.30pm on weekdays. We are off on
( ) weekends and UK bank holidays. .
..
\ oe
~ 4 « . .
Sy, Benefits: .
70 + Competitive remuneration package.
; f + Flexible work-from-home arrangement.
? ia + Opportunity to work with colleagues
- a SA ee from the UK and internationally. }
a i
| ar ' = Comprehensive training provided to
q wpe g t help you succeed in the role.
f: (| ; hase :
“ \E og <a am Please send your CV to:
Ry fs Se Se careers@imet.lk
ie is \' ae ao ""] '
7 Rese ot
1 tr AX VoALP oe
",True,,"collaboration, communication","collaboration, communication",True
topjobs_1471688,Intern - Data Analytics (1),MAS Silueta,Biyagama,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000094&jc=0001471688&ec=0000000257&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000094&jc=0001471688&ec=0000000257&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471688.png,,,"KIGCKSTARTAYOUR CREE ER|WITHIMAS eam
Calling out all bright minds looking to gain valuable experience in the ~
eo apn | a eng fof any a ae ea.
ever evolving Apparel industry! We.are on the lookout fotinnovative: x.
thinkers to join Silueta= Biyagama as ana : a
ntern= aAn I r 6 ‘
J ter a at arytics a a,
s ” a -
mWhoWe re-Looking:For: i
‘We-are looking for proactive Undergraduates and Graduates in.Business, _
information’Systems along with strong communication and knowledge in
Power, BI to join our,team of changemakers.yaiem
YounRole. with Us: ,
As a Data‘Analytics Intern;you will contribute to UI/UX tasks using Figma, -
perform.manual and automated testing while supporting data analysis,
reporting and visualization: :
Apply now! :
Apply within,7 calendar days ofthis advert being published)
— fA ag? ’ y
‘
SS |
. \ iy coe vs
; . y
We are an equal opportunity employer and welcome all qualifying candidates to join our team of MAS professionals.
",True,"figma, power bi",communication,"communication, figma, power bi",True
topjobs_1471684,Intern - Data Analytics (1),MAS Silueta,Biyagama,2026-02-20,2026-03-06,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000094&jc=0001471684&ec=0000000257&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000094&jc=0001471684&ec=0000000257&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1471684.png,,,,True,,,,True
topjobs_1470493,Trainee Software Engineer,Maga Engineering (Pvt) Ltd,Nawala,2026-02-18,2026-03-28,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000399&jc=0001470493&ec=0000000525&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000399&jc=0001470493&ec=0000000525&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1470493.png,,,,True,,,,True
topjobs_1468113,Intern - Pronto ERP,IPD Colombo (Pvt) Ltd,Colombo 5,2026-02-13,2026-02-27,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001468113&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001468113&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1468113.png,,,"INTERN — PRONTO ERP.
IPD is a publicly listed Australian company providing electrical engineering products and solutions to the
Australian market for over 70 years. IPD Colombo team is the offshore unit of IPD Australia and currently consists
‘of over 200 professionals collaborating with over 450 team members across Australia ina dynamic and
innovative environment to achieve high quality results.}
‘As a Pronto ERP Intern, you will assist in supporting and maintaining the organization's ERP system. Your work will
include helping with user, support, basic system~configurations, report generation,’ data validation, and
documenting processes, while gaining exposure to how ERP systems support real-world business operations,
—_—, aH Sa -o
! .
*
WHY CHOOSE US? | -
1 , I
* Cutting-Edge Projects: Dive into exciting projects at the forefront of technology innovation. 4 ]
* Hands-On Learning: Gain practical, hands-on experience that goes beyond the classroom. _. 4
* Expert Mentorship: Learn from the best in the industry. \h vs, Ir |
+ Industry Insights: Get a glimpse into the inner workings of the IT industry. } | 7 1
* Collaborative Environment: Join a collaborative and supportive team where your ideas are a
valued, and your contributions make a difference. 14 re] '
+ Networking Opportunities: Build connections that last a lifetime. ~ va, | i ed
("" ‘y | ti
| : « is K ""
Don't miss out on this incredible opportunity. Apply now if you're a talented person with strong technical \
proficiency, problem-solving aptitude, good communication skills, teamwork, time management, and adesire +
to leam new things. ye . ~ , . .
oN |
| | { f A \ f “ 7
i 1 ’ 4
—_ ; A |
Z ~ :
: a0 SAY ie
Ve"" an 1
. ewe V; NAY av]
~ a ; ~ > r
IPD COLOMBO (PVT) LTD.
No: 118/5, 1/1, Nawala Road, Narahenpita, Colambo — 05, Sri Lanka. CLICK HERE TO APPLY,
Web: wwnw.ipdlk
",True,networking,"communication, problem solving, teamwork, time management","communication, networking, problem solving, teamwork, time management",True
topjobs_1469939,Intern - Chemical Process Engineer,Meraki (Private) Limited,Colombo 5,2026-02-17,2026-03-03,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001469939&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001469939&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1469939.png,,,"MERAK! (PRIVATE) LIMITED
Advanced Materials & Process Engineering

Intern — Chemical Process Engineer

Role Summary ~ \

United Science Organization is seeking a Chemical Process Engineer Intem with strong applied

chemistry knowledge. The role focuses on translating chemical understanding into scalable,

feal-world process enginearing solutions across pilot and production environments.

Key Respansbiias \ \

area

+ Design and evaluate continuous and semi-continuous chemical processes.

* Execute laboratory and pilot scale experiments on novel materials.

* Analyze process data and derive actionable engineering insights.

+ Support equipment design, documentation, and scale-up activities.

Candidate Requirements

+ Degree in Chemical Engineering or closely related discipline.

+ Strong grounding in applied chemistry and thermodynamics.

+ Comfort with Excel and Python or MATLAB for engineering analysis.

+ Clear written and verbal English communication.

* Hands-on exposure to real industrial process challenges.

© High teaming velocity and technical ownership. Oh iO}

* Defined pathway to full-ime employment. Fe ql

Apply via the link with your CV and a brief cover letter. a
PARSE

htips:/lerp.bemerakl.com/rfprocess-engineer
",True,"excel, python",communication,"communication, excel, python",True
topjobs_1466926,Trainee IT (1),Micronet Global Services (Pvt) Ltd,Colombo 2,2026-02-11,2026-02-28,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000419&jc=0001466926&ec=0000000552&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000419&jc=0001466926&ec=0000000552&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1466926.jpg,hr8@micronetglobal.net,"0117 397 100, 0763 593 143","a Rare f enemy i of Fee 0 Ret pp Re eit
mY PU er ane 8 booed BR An . i HWepet- ANS eg pS oo Cage
COINS yecalaaey | seh WERE
Wie ran et a f 7. 7 Mee Ocite Banat . va
tye \t @ +\\ .
TRAINEE IT joes
NOM,
Candidate profile COLOMBO/02)
e Passed G.C.E. O/L & A/L.
e Good Communication Skills.
e Certificate / Diploma in Information Technology.
e Computer Literacy.
e Familiar with Concepts of Windows, Hardware, Networking
Infrastructure.
e School Leavers are encouraged to apply.
Please forward your CV with the details of non-related referees to /
hr8@micronetglobal.net and mention the position applied for in the subject line.
Micronet Global Services (PVT) Ltd
141/7B, Vauxhall Street, Colombo 02
Tel no: 0117 397 100 / 0763 593 143
Se
",True,"c, networking",communication,"c, communication, networking",True
topjobs_1467337,Trainee Site Support Engineer,Micronet Global Services (Pvt) Ltd,Biyagama,2026-02-11,2026-03-28,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000419&jc=0001467337&ec=0000000552&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=0000000419&jc=0001467337&ec=0000000552&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1467337.jpg,hr3@micronetglobal.net,,"“ang sls SITE'SUPPORTENGINEER[ Osteen Wes
. > . — ft . wee cy Saves NSP Sees . My
z ="" (EVES) seine
AM\OW® oY
\
We are looking for Hardware ay Engineers who will be responsible for maintaining,
configuring and, administering company's computer networks and replacing faulty network
hardware components.
Job Requirement:
e Diploma or equivalent qualification in Computer Networking & Hardware.
e = Six months of experience in IT Hardware & Networking is a must.
e Good analytical and problem-solving skills.
e Prefer Candidates from required areas
e = Fluent in English.
e = Salary Rs : 53.000/-
Right candidate will be offered with an attractive remuneration package in par with the
industry standards.
Please forward your CVs to hr3@micronetglobal.net within 14 days from the date of
vacancy or post to Micronet Information Systems (PVT) Ltd, No. 141/7A, Vauxhall Street,
Colombo 02
",True,networking,problem solving,"networking, problem solving",True
topjobs_1468122,Intern - Software Development,IPD Colombo (Pvt) Ltd,Colombo 5,2026-02-13,2026-02-27,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001468122&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001468122&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1468122.png,,,"INTERN = SOFTWARE DEVELOPMENT,
IPD is a publicly listed Australian company providing electrical engineering products and solutions to the,
Australian market for over 70 years. IPD Colombo team is the offshore unit of IPD Australia and currently consists
of over 200 professionals collaborating with over 450 team members across Australia in a dynamic and
innovative environment to achieve high quality results,}
‘As a Software Development inter, ‘you Will support, the design, development, testing, and maintenance of
software applications. You will work closely with the development team to write code, fix bugs, test features, and
contribute to ongoing software projects while learning modern development tools and best practices.
TTT Oo Nae
| ]
Aa
WHY CHOOSE US? | a
1 ; |
* Cutting-Edge Projects: Dive into exciting projects at the forefront of technotogy innovation. 4 J
* Hands-On Learning: Gain practical, hands-on experience that goes beyond the classroom. a
* Expert Mentorship: Learn from the best in the industry. \ ~~, I: |
Industry Insights: Get a glimpse into the inner workings of the IT industry. 5 | | 1
* Collaborative Environment: Join a collaborative and supportive team where your ideas are 2 :
valued, and your contributions make a difference. hy ey '
« Networking Opportunities: Build connections that last a lifetime. ’ os, | i Ped
| : id aan N ‘
Don't miss out on this incredible opportunity. Apply now if you're a talented person with strong technical‘
proficiency, problem-solving aptitude, good communication skills, teamwork, time management, and adesire \ 4
to learn new things, yn ed . .
eNO |
| | i & \ t s y
, fot , Z i
: i} eZ NUE
. “he ro SA » aS -
Ne Me 7 ny
“2 en Poa
IPD COLOMBO (PVT) LTD
No: 118/5, 1/1, Nawala Road, Narahenpita, Colombe = 05, Sri Lanka. CLICK HERE TO APPLY,
Web: wanwripallk
",True,networking,"communication, problem solving, teamwork, time management","communication, networking, problem solving, teamwork, time management",True
topjobs_1470744,Trainee Hardware Support Technician,Cooplife Insurance Limited,Colombo 3,2026-02-19,2026-03-05,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001470744&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,https://www.topjobs.lk/vacancy?ac=DEFZZZ&jc=0001470744&ec=DEFZZZ&pg=applicant/vacancyDetails.jsp,data/raw/topjobs_ads_listview/images/topjobs_1470744.png,careers.life@coopinsu.com,,"er (~~
‘S) CliS 6 “OOAR Ze.
be ie cee’ fhe
WwW, fom y a noe TS
oe i ae
dd (a
MLA Bil
We are looking for a highly motivated Accountant to manage and oversee financial operations
with a focus on branch accounts, cash operations, and internal controls. The selected candidate
will play a key role in maintaining financial discipline, supporting the implementation of IFRS
17, and ensuring compliance with regulatory and internal control frameworks across branches
and the Head Office.)
e _%
Trainee Hardware Support Assistant
KeyResponsibilities * |
v gAssist in installation, configuration, and upgrading of desktops, laptops, printers, and other I
equipment,
iV] Provide first-level troubleshooting forhardwa re, peripheral, and basic network issues,
go ‘Support operating system installation and basic software setup ees;
g Replace or repair faulty hardware components Under supervision . «stl Bs.
iV] Perform routine preventive maintenance of IT equipment ¥ ae! o
(V2 Assist in LAN Cabling, patching,and basicnetwork device setup He || ESE wey gravall
(VJ Maintain hardware inventory and update asset records’ Y He fo Kv ih
Sear ileal ile ra aan . ieee fs
[Vv] Coordinate with vendors for warranty claims and repairs, Ne ¥ Ly aN x
Vv ZSupport IT team during system upgrades and infrastructure projects. ia a bY \
|
Asin | ,
Qualifications — Trainee Hardware Support Assistant Te, . P Hil
PP (i EN aN fl if
4. G.C.E, Ordinary Level (O/L) or Advanced Level (A/L) qualification TV Lh [a
(VJ Diploma in IT, Computer Hardware, Networking, of] Medi —
a related field (NVQ orequivalentis an added advantage)
(VI Basic knowledge ofcomputer hardware components (desktops, laptops, printers, peripherals)
[V2 Basic understanding ofc operating systems (Windows) and common software applications
iV) Willingness to learn troubleshooting, installation,and maintenance of hardware’
iv) ‘Good communication and interpersonal skills
Q Ability to work as partofateam and follow instructions,
(VI Positive attitude with strong willingness to learn and develop technical skills
The right candidate will be offered an attractive remuneration packages and if you are the right one,
forward your resume to careers.life@coopinsu.com
coo;
Q COOPLIFE, INSURANCE LIMITED
(s (Al | N07 455, Galle Road, Colombo 034
www.cooplife.tk
",True,"c, go, networking",communication,"c, communication, go, networking",True
